,index,title,specific_color,type2,specific_type,color,tipo_marca,stock,envios,ventas,satisfaction,tasa_mercado,interest,season,disponibilidad,marca,feature_name,feature_value,variant_id,nivel_prenda
1217,1218,Dots Top charlior,ecru,Top,top,brown,WHOLE_SALE,0.3333333333333333,2338.333333333333,1165.6666666666667,0.4943166362253346,0.0198897064035498,0.2571031713144422,7,proximamente,WHOLE_SALE,application,58,157cf8bd-9b43-4242-8c41-1e1ac4b57d40,Nivel 2
1218,1219,Dots Top charlior,pink,Top,top,pink,WHOLE_SALE,0.5,1616.5,935.0,0.5886379689026927,0.0137498405137583,0.3011939047082255,7,disponible,WHOLE_SALE,application,58,2c058087-fe95-4a75-94af-775858fa56db,Nivel 2
1220,1221,Dots Tshirt film ,blue_dark,Tshirt,tshirt,blue,OWN_PRODUCTION,0.3333333333333333,1092.3333333333333,564.6666666666666,0.4954401605800047,0.0092913140248656,0.2523657373024351,9,proximamente,OWN_PRODUCTION,application,false,1c7c2847-73f0-4636-8f28-cada9a76a3c2,Nivel 2
1222,1223,Dou Jeans onesize ,blue,Jean,jean,blue,MAINSTREAM,1.0,27511.0,15020.0,0.5459634328086947,0.2340067196869816,0.3899850762478382,8,disponible,MAINSTREAM,alerts,false,3b79f521-1741-43f8-b004-94dda2916e40,Nivel 1
1224,1225,Dou Jeans onesize ,blue_klein,Jean,jean,blue,MAINSTREAM,1.0,25466.0,11787.0,0.4628524306919029,0.2166120869306341,0.3397322588112685,7,disponible,MAINSTREAM,alerts,false,c2eef4df-7f93-4363-97c4-9f439d993636,Nivel 1
1226,1227,Dou Jeans onesize ,brown,Jean,jean,brown,MAINSTREAM,12.0,11919.0,5212.0,0.4372850071314708,0.1013822140943307,0.2693336106129008,8,disponible,MAINSTREAM,alerts,false,9dffdbdb-714a-43d4-8ddc-a2e3da925c35,Nivel 1
1227,1228,Dou Jeans onesize ,brown_light,Jean,jean,brown,MAINSTREAM,1.0,25598.0,12843.0,0.501718884287835,0.2177348700718751,0.359726877179855,8,disponible,MAINSTREAM,alerts,false,bcd2d6ed-fc2d-49ea-a136-681c14042bc0,Nivel 1
1228,1229,Dou Jeans onesize ,camel,Jean,jean,brown,MAINSTREAM,2.0,10996.0,5520.0,0.5020007275372863,0.0935312380385318,0.2977659827879091,8,disponible,MAINSTREAM,alerts,false,fcfaf72f-dd00-4e59-a774-6b73823e48e1,Nivel 1
1229,1230,Dou Jeans onesize ,coral,Jean,jean,orange,MAINSTREAM,4.0,29666.0,15746.0,0.530775972493764,0.2523370050610301,0.391556488777397,8,disponible,MAINSTREAM,alerts,false,6f8ec7e1-98ba-47d1-88fe-a40369e02558,Nivel 1
1232,1233,Dou Jeans onesize ,green,Jean,jean,green,MAINSTREAM,2.0,26455.0,14888.0,0.5627669627669628,0.2250244545570535,0.3938957086620082,8,disponible,MAINSTREAM,alerts,false,e322825a-e25d-4887-9ca6-e4c2d0b86554,Nivel 1
